end_date,start_date,updated_date,value
2024-06-02T01:00:00+02:00,2024-06-02T00:00:00+02:00,2024-06-01T16:35:00+02:00,0
2024-06-02T02:00:00+02:00,2024-06-02T01:00:00+02:00,2024-06-01T16:35:00+02:00,0
2024-06-02T03:00:00+02:00,2024-06-02T02:00:00+02:00,2024-06-01T16:35:00+02:00,0
2024-06-02T04:00:00+02:00,2024-06-02T03:00:00+02:00,2024-06-01T16:35:00+02:00,0
2024-06-02T05:00:00+02:00,2024-06-02T04:00:00+02:00,2024-06-01T16:35:00+02:00,0
2024-06-02T06:00:00+02:00,2024-06-02T05:00:00+02:00,2024-06-01T16:35:00+02:00,0
2024-06-02T07:00:00+02:00,2024-06-02T06:00:00+02:00,2024-06-01T16:35:00+02:00,3.21
2024-06-02T08:00:00+02:00,2024-06-02T07:00:00+02:00,2024-06-01T16:35:00+02:00,570.73
2024-06-02T09:00:00+02:00,2024-06-02T08:00:00+02:00,2024-06-01T16:35:00+02:00,1801.68
2024-06-02T10:00:00+02:00,2024-06-02T09:00:00+02:00,2024-06-01T16:35:00+02:00,4018.31
2024-06-02T11:00:00+02:00,2024-06-02T10:00:00+02:00,2024-06-01T16:35:00+02:00,6195.11
2024-06-02T12:00:00+02:00,2024-06-02T11:00:00+02:00,2024-06-01T16:35:00+02:00,8062.12
2024-06-02T13:00:00+02:00,2024-06-02T12:00:00+02:00,2024-06-01T16:35:00+02:00,8987.35
2024-06-02T14:00:00+02:00,2024-06-02T13:00:00+02:00,2024-06-01T16:35:00+02:00,9065.46
2024-06-02T15:00:00+02:00,2024-06-02T14:00:00+02:00,2024-06-01T16:35:00+02:00,8665.33
2024-06-02T16:00:00+02:00,2024-06-02T15:00:00+02:00,2024-06-01T16:35:00+02:00,8453.96
2024-06-02T17:00:00+02:00,2024-06-02T16:00:00+02:00,2024-06-01T16:35:00+02:00,7824.98
2024-06-02T18:00:00+02:00,2024-06-02T17:00:00+02:00,2024-06-01T16:35:00+02:00,6534.12
2024-06-02T19:00:00+02:00,2024-06-02T18:00:00+02:00,2024-06-01T16:35:00+02:00,5295.94
2024-06-02T20:00:00+02:00,2024-06-02T19:00:00+02:00,2024-06-01T16:35:00+02:00,3457.05
2024-06-02T21:00:00+02:00,2024-06-02T20:00:00+02:00,2024-06-01T16:35:00+02:00,1532.37
2024-06-02T22:00:00+02:00,2024-06-02T21:00:00+02:00,2024-06-01T16:35:00+02:00,343.89
2024-06-02T23:00:00+02:00,2024-06-02T22:00:00+02:00,2024-06-01T16:35:00+02:00,0
2024-06-03T00:00:00+02:00,2024-06-02T23:00:00+02:00,2024-06-01T16:35:00+02:00,0
2024-06-01T01:00:00+02:00,2024-06-01T00:00:00+02:00,2024-05-31T16:40:00+02:00,0
2024-06-01T02:00:00+02:00,2024-06-01T01:00:00+02:00,2024-05-31T16:40:00+02:00,0
2024-06-01T03:00:00+02:00,2024-06-01T02:00:00+02:00,2024-05-31T16:40:00+02:00,0
2024-06-01T04:00:00+02:00,2024-06-01T03:00:00+02:00,2024-05-31T16:40:00+02:00,0
2024-06-01T05:00:00+02:00,2024-06-01T04:00:00+02:00,2024-05-31T16:40:00+02:00,0
2024-06-01T06:00:00+02:00,2024-06-01T05:00:00+02:00,2024-05-31T16:40:00+02:00,0
2024-06-01T07:00:00+02:00,2024-06-01T06:00:00+02:00,2024-05-31T16:40:00+02:00,3.37
2024-06-01T08:00:00+02:00,2024-06-01T07:00:00+02:00,2024-05-31T16:40:00+02:00,627.12
2024-06-01T09:00:00+02:00,2024-06-01T08:00:00+02:00,2024-05-31T16:40:00+02:00,2086.81
2024-06-01T10:00:00+02:00,2024-06-01T09:00:00+02:00,2024-05-31T16:40:00+02:00,4312.99
2024-06-01T11:00:00+02:00,2024-06-01T10:00:00+02:00,2024-05-31T16:40:00+02:00,6544.94
2024-06-01T12:00:00+02:00,2024-06-01T11:00:00+02:00,2024-05-31T16:40:00+02:00,8363.7
2024-06-01T13:00:00+02:00,2024-06-01T12:00:00+02:00,2024-05-31T16:40:00+02:00,9480.37
2024-06-01T14:00:00+02:00,2024-06-01T13:00:00+02:00,2024-05-31T16:40:00+02:00,10010.37
2024-06-01T15:00:00+02:00,2024-06-01T14:00:00+02:00,2024-05-31T16:40:00+02:00,9472.86
2024-06-01T16:00:00+02:00,2024-06-01T15:00:00+02:00,2024-05-31T16:40:00+02:00,9239.82
2024-06-01T17:00:00+02:00,2024-06-01T16:00:00+02:00,2024-05-31T16:40:00+02:00,8272.41
2024-06-01T18:00:00+02:00,2024-06-01T17:00:00+02:00,2024-05-31T16:40:00+02:00,7096.91
2024-06-01T19:00:00+02:00,2024-06-01T18:00:00+02:00,2024-05-31T16:40:00+02:00,5167.11
2024-06-01T20:00:00+02:00,2024-06-01T19:00:00+02:00,2024-05-31T16:40:00+02:00,3127.46
2024-06-01T21:00:00+02:00,2024-06-01T20:00:00+02:00,2024-05-31T16:40:00+02:00,1322.45
2024-06-01T22:00:00+02:00,2024-06-01T21:00:00+02:00,2024-05-31T16:40:00+02:00,279.46
2024-06-01T23:00:00+02:00,2024-06-01T22:00:00+02:00,2024-05-31T16:40:00+02:00,0
2024-06-02T00:00:00+02:00,2024-06-01T23:00:00+02:00,2024-05-31T16:40:00+02:00,0
