,published_at_utc,event_at_utc,value
16,2024-05-09T19:18:00,2024-05-10T14:00:00,7431
41,2024-05-09T20:18:00,2024-05-10T14:00:00,7548
66,2024-05-09T21:18:00,2024-05-10T14:00:00,7548
90,2024-05-09T22:18:00,2024-05-10T14:00:00,7831
113,2024-05-09T23:17:00,2024-05-10T14:00:00,7909
135,2024-05-10T00:18:00,2024-05-10T14:00:00,8303
156,2024-05-10T01:17:00,2024-05-10T14:00:00,8303
176,2024-05-10T02:18:00,2024-05-10T14:00:00,8303
195,2024-05-10T03:17:00,2024-05-10T14:00:00,8306
213,2024-05-10T04:17:00,2024-05-10T14:00:00,9784
230,2024-05-10T05:18:00,2024-05-10T14:00:00,10397
246,2024-05-10T06:15:00,2024-05-10T14:00:00,10955
261,2024-05-10T07:18:00,2024-05-10T14:00:00,11752
275,2024-05-10T08:18:00,2024-05-10T14:00:00,12241
288,2024-05-10T09:18:00,2024-05-10T14:00:00,12745
300,2024-05-10T10:18:00,2024-05-10T14:00:00,13358
311,2024-05-10T11:17:00,2024-05-10T14:00:00,15089
321,2024-05-10T12:17:00,2024-05-10T14:00:00,14870
330,2024-05-10T13:17:00,2024-05-10T14:00:00,14214
