time_index,state,best_action
0,0,0
0,1,-10
0,2,-10
0,3,-10
0,4,-10
0,5,-10
0,6,-10
1,0,0
1,1,-10
1,2,-10
1,3,-10
1,4,-10
1,5,-10
1,6,-10
2,0,10
2,1,10
2,2,10
2,3,10
2,4,10
2,5,10
2,6,0
3,0,0
3,1,-10
3,2,-10
3,3,-10
3,4,-10
3,5,-10
3,6,-10
4,0,0
4,1,-10
4,2,-10
4,3,-10
4,4,-10
4,5,-10
4,6,-10
5,0,0
5,1,-10
5,2,-10
5,3,-10
5,4,-10
5,5,-10
5,6,-10
6,0,0
6,1,-10
6,2,-10
6,3,-10
6,4,-10
6,5,-10
6,6,-10
7,0,0
7,1,-10
7,2,-10
7,3,-10
7,4,-10
7,5,-10
7,6,-10
8,0,0
8,1,-10
8,2,-10
8,3,-10
8,4,-10
8,5,-10
8,6,-10
9,0,10
9,1,0
9,2,-10
9,3,-10
9,4,-10
9,5,-10
9,6,-10
10,0,0
10,1,-10
10,2,-10
10,3,-10
10,4,-10
10,5,-10
10,6,-10
11,0,0
11,1,-10
11,2,-10
11,3,-10
11,4,-10
11,5,-10
11,6,-10
12,0,0
12,1,-10
12,2,-10
12,3,-10
12,4,-10
12,5,-10
12,6,-10
13,0,0
13,1,-10
13,2,-10
13,3,-10
13,4,-10
13,5,-10
13,6,-10
14,0,0
14,1,-10
14,2,-10
14,3,-10
14,4,-10
14,5,-10
14,6,-10
15,0,0
15,1,-10
15,2,-10
15,3,-10
15,4,-10
15,5,-10
15,6,-10
16,0,0
16,1,-10
16,2,-10
16,3,-10
16,4,-10
16,5,-10
16,6,-10
17,0,0
17,1,-10
17,2,-10
17,3,-10
17,4,-10
17,5,-10
17,6,-10
18,0,0
18,1,-10
18,2,-10
18,3,-10
18,4,-10
18,5,-10
18,6,-10
19,0,0
19,1,-10
19,2,-10
19,3,-10
19,4,-10
19,5,-10
19,6,-10
20,0,10
20,1,10
20,2,10
20,3,10
20,4,10
20,5,10
20,6,0
21,0,0
21,1,-10
21,2,-10
21,3,-10
21,4,-10
21,5,-10
21,6,-10
22,0,10
22,1,10
22,2,10
22,3,10
22,4,10
22,5,10
22,6,0
23,0,10
23,1,10
23,2,0
23,3,-10
23,4,-10
23,5,-10
23,6,-10
24,0,10
24,1,10
24,2,10
24,3,0
24,4,-10
24,5,-10
24,6,-10
25,0,10
25,1,10
25,2,10
25,3,10
25,4,0
25,5,-10
25,6,-10
26,0,10
26,1,10
26,2,10
26,3,10
26,4,10
26,5,0
26,6,-10
27,0,10
27,1,10
27,2,0
27,3,-10
27,4,-10
27,5,-10
27,6,-10
28,0,10
28,1,10
28,2,10
